command	c_handler	c_min_position	c_min_level	c_subcmd	status	go_evidence
shadow	do_follow	POS_STANDING	0	TRUE	registered	pkg/session/commands.go:registerCommand("shadow", ...)
shake	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
shame	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
sharpen	do_sharpen	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("sharpen", ...)
shishkabob	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
shiver	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
shoot	do_shoot	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("shoot", ...)
shout	do_gen_comm	POS_RESTING	0	SCMD_SHOUT	registered	pkg/session/commands.go:registerCommand("shout", ...)
show	do_show	POS_DEAD	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("show", ...)
shrug	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
shudder	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
shutdow	do_shutdown	POS_DEAD	LVL_IMPL-1	0	abbrev-stub	abbreviation-only entry in interpreter.c
shutdown	do_shutdown	POS_DEAD	LVL_IMPL-1	SCMD_SHUTDOWN	registered	pkg/session/commands.go:registerCommand("shutdown", ...)
sigh	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
sing	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
sip	do_drink	POS_RESTING	0	SCMD_SIP	registered	pkg/session/commands.go:registerCommand("sip", ...)
sit	do_sit	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("sit", ...)
skillset	do_skillset	POS_SLEEPING	LVL_GRGOD	0	registered	pkg/session/commands.go:registerCommand("skillset", ...)
slap	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
sleep	do_sleep	POS_SLEEPING	0	0	registered	pkg/session/commands.go:registerCommand("sleep", ...)
sleeper	do_sleeper	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("sleeper", ...)
slowns	do_gen_tog	POS_DEAD	LVL_IMPL-1	SCMD_SLOWNS	registered	pkg/session/commands.go:registerCommand("slowns", ...)
slug	do_slug	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("slug", ...)
smackheads	do_smackheads	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("smackheads", ...)
smell	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
smile	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
smirk	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
snap	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
snarl	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
sneak	do_sneak	POS_STANDING	1	0	registered	pkg/session/commands.go:registerCommand("sneak", ...)
sneer	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
sneeze	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
snicker	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
sniff	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
snoop	do_snoop	POS_DEAD	LVL_GOD	0	registered	pkg/session/commands.go:registerCommand("snoop", ...)
snore	do_action	POS_SLEEPING	0	0	social	pkg/game/socials.txt
snowball	do_action	POS_STANDING	LVL_IMMORT	0	social	pkg/game/socials.txt
snuggle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
socials	do_commands	POS_DEAD	0	SCMD_SOCIALS	registered	pkg/session/commands.go:registerCommand("socials", ...)
south	do_move	POS_STANDING	0	SCMD_SOUTH	registered	pkg/session/commands.go:registerCommand("south", ...)
spackle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
spank	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
spew	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
