command	reach_status	coverage	scenarios
snarl	social	never-probed	
sneak	registered	probed	thief-sneak.txt
sneer	social	never-probed	
sneeze	social	never-probed	
snicker	social	never-probed	
sniff	social	never-probed	
snoop	registered	never-probed	
snore	social	never-probed	
snowball	social	never-probed	
snuggle	social	never-probed	
socials	implemented-unwired	never-probed	
south	registered	probed	movement.txt
spackle	social	never-probed	
spank	social	never-probed	
spew	social	never-probed	
spike	registered	never-probed	
spit	social	never-probed	
split	registered	never-probed	
squeeze	social	never-probed	
stable	missing	never-probed	
stake	registered	never-probed	
stand	registered	probed	movement.txt,position-gates.txt
stare	social	never-probed	
startle	social	never-probed	
stat	registered	never-probed	
steal	registered	never-probed	
stealth	registered	never-probed	
steam	social	never-probed	
stimpy	social	never-probed	
stretch	social	never-probed	
strike	registered	never-probed	
string	missing	never-probed	
stroke	social	never-probed	
strut	social	never-probed	
subdue	registered	never-probed	
sulk	social	never-probed	
sweat	social	never-probed	
switch	registered	never-probed	
sysfile	registered	never-probed	
syslog	registered	never-probed	
tackle	social	never-probed	
tag	registered	never-probed	
take	registered	never-probed	
tango	social	never-probed	
tap	social	never-probed	
taste	registered	never-probed	
taunt	social	never-probed	
tedit	missing	never-probed	
teleport	registered	never-probed	
tell	registered	probed	communication.txt
thank	social	never-probed	
thaw	implemented-unwired	never-probed	
think	registered	never-probed	
thpbt	social	never-probed	
threaten	social	never-probed	
throttle	social	never-probed	
thumbsup	social	never-probed	
thunk	social	never-probed	
tick	registered	never-probed	
tickle	social	never-probed	
tiger	registered	never-probed	
tilt	social	never-probed	
time	registered	probed	act-informative-sweep.txt,character-view.txt
title	registered	probed	act-informative-sweep.txt
todo	registered	never-probed	
toggle	registered	probed	toggle-cluster.txt
toh	registered	never-probed	
track	missing	never-probed	
transfer	missing	never-probed	
transform	registered	never-probed	
trip	registered	never-probed	
tug	social	never-probed	
turn	registered	never-probed	
twiddle	social	never-probed	
typo	registered	never-probed	
unaffect	registered	never-probed	
unban	registered	never-probed	
ungroup	registered	never-probed	
unlock	registered	probed	object-doors.txt
up	registered	never-probed	
uptime	implemented-unwired	never-probed	
use	registered	never-probed	
users	registered	never-probed	
value	missing	never-probed	
version	registered	never-probed	
violate	social	never-probed	
visible	registered	never-probed	
vnum	registered	never-probed	
vstat	registered	never-probed	
wake	registered	probed	movement.txt,position-gates.txt
waltz	social	never-probed	
wave	social	probed	communication-channels.txt
wear	registered	probed	act-obj-sweep.txt,equipment-takename.txt,equipment.txt,object-starting-gear.txt
weather	registered	probed	act-informative-sweep.txt
wedgie	social	never-probed	
wee	social	never-probed	
weep	social	never-probed	
west	registered	never-probed	
whap	social	never-probed	
where	registered	never-probed	
whimper	social	never-probed	
whine	social	never-probed	
whisper	registered	probed	act-messages.txt,communication.txt
whistle	social	never-probed	
who	registered	probed	act-informative-sweep.txt,character-view.txt
whoami	registered	probed	static-text.txt
whod	registered	never-probed	
whois	registered	probed	mortal-503-sweep.txt
wield	registered	probed	equipment.txt,object-starting-gear.txt
wiggle	social	never-probed	
will	specproc	never-probed	
wimpy	registered	never-probed	
wink	social	never-probed	
withdraw	specproc	never-probed	
wizhelp	implemented-unwired	never-probed	
wizlist	registered	probed	static-text.txt
wizlock	registered	never-probed	
wiznet	registered	never-probed	
wnewbie	implemented-unwired	never-probed	
worship	social	never-probed	
write	registered	never-probed	
yank	registered	never-probed	
yawn	social	never-probed	
yodel	social	never-probed	
yuball	social	never-probed	
zai	registered	never-probed	
zedit	missing	never-probed	
zhen	registered	never-probed	
zlist	registered	never-probed	
zreset	registered	never-probed	
